"dwel";"y";"h";"lco2";"n"
"16923";0;0;0;6.58918435349661;1
"16924";0;0;0;6.74192203969298;1
"16925";0;0;0;6.87600658066756;1
"16926";0;0;0;6.99134936534626;1
"16927";0;0;0;6.9642537528874;1
"16928";0;0;0;6.99278552816671;1
"16929";0;0;0.261799387799149;7.07300485187744;1
"16930";0;0;0.261799387799149;7.1457874427901;1
"16931";0;0;0.261799387799149;7.21478031427705;1
"16932";0;0;0.261799387799149;7.16987912993723;1
"16933";0;0;0.261799387799149;7.23728382100036;1
"16934";0;0;0.261799387799149;7.27953432943549;1
"16935";0;0;0.523598775598299;7.30043061216191;1
"16936";0;0;0.523598775598299;7.27953432943549;1
"16937";0;0;0.523598775598299;7.25907214401933;1
"16938";0;0;0.523598775598299;7.25797191285982;1
"16939";0;0;0.523598775598299;7.34014627641845;1
"16940";0;0;0.523598775598299;7.34014627641845;1
"16941";0;0;0.785398163397448;7.29937498026825;1
"16942";0;0;0.785398163397448;7.3200718620394;1
"16943";0;0;0.785398163397448;7.3600244532881;1
"16944";0;0;0.785398163397448;7.34014627641845;1
"16945";0;0;0.785398163397448;7.43359266036857;1
"16946";0;0;0.785398163397448;7.43359266036857;1
"16947";0;0;1.0471975511966;7.41607777253001;1
"16948";0;0;1.0471975511966;7.3600244532881;1
"16949";0;0;1.0471975511966;7.16987912993723;1
"16950";0;0;1.0471975511966;7.04506857369115;1
"16951";0;0;1.0471975511966;7.0973420467675;1
"16952";0;0;1.0471975511966;7.0973420467675;1
"16953";0;0;1.30899693899575;7.1457874427901;1
"16954";0;0;1.30899693899575;7.16987912993723;1
"16955";0;0;1.30899693899575;7.19316915602247;1
"16956";0;0;1.30899693899575;7.25797191285982;1
"16957";0;0;1.30899693899575;7.3200718620394;1
"16958";0;0;1.30899693899575;7.30043061216191;1
"16959";0;0;1.5707963267949;7.3200718620394;1
"16960";0;0;1.5707963267949;7.27953432943549;1
"16961";0;0;1.5707963267949;7.3200718620394;1
"16962";0;0;1.5707963267949;7.3200718620394;1
"16963";0;0;1.5707963267949;7.43451576576043;1
"16964";0;0;1.5707963267949;7.34014627641845;1
"16965";0;0;1.83259571459405;7.3200718620394;1
"16966";0;0;1.83259571459405;7.3600244532881;1
"16967";0;0;1.83259571459405;7.39748493945339;1
"16968";0;0;1.83259571459405;7.43359266036857;1
"16969";0;0;1.83259571459405;7.46933342594529;1
"16970";0;0;1.83259571459405;7.43359266036857;1
"16971";0;0;2.0943951023932;7.45153200288781;1
"16972";0;0;2.0943951023932;7.48577215228845;1
"16973";0;0;2.0943951023932;7.45153200288781;1
"16974";0;0;2.0943951023932;7.46933342594529;1
"16975";0;0;2.0943951023932;7.48577215228845;1
"16976";0;0;2.0943951023932;7.50297949438493;1
"16977";0;0;2.35619449019234;7.50297949438493;1
"16978";0;0;2.35619449019234;6.99134936534626;1
"16979";0;0;2.35619449019234;6.90587851896928;1
"16980";0;0;2.35619449019234;6.77778895252211;1
"16981";0;0;2.35619449019234;6.77600800815112;1
"16982";0;0;2.35619449019234;6.74192203969298;1
"16983";0;0;2.61799387799149;6.74192203969298;1
"16984";0;0;2.61799387799149;6.70510345571493;1
"16985";0;0;2.61799387799149;6.70510345571493;1
"16986";0;0;2.61799387799149;6.77778895252211;1
"16987";0;0;2.61799387799149;6.77778895252211;1
"16988";0;0;2.61799387799149;6.77600800815112;1
"16989";0;0;2.87979326579064;6.77778895252211;1
"16990";0;0;2.87979326579064;6.77778895252211;1
"16991";0;0;2.87979326579064;6.84388320238773;1
"16992";0;0;2.87979326579064;6.84388320238773;1
"16993";0;0;2.87979326579064;6.84221625751098;1
"16994";0;0;2.87979326579064;6.87439237531302;1
"16995";0;0;3.14159265358979;6.87439237531302;1
"16996";0;0;3.14159265358979;6.84221625751098;1
"16997";0;0;3.14159265358979;6.93457976385854;1
"16998";0;0;3.14159265358979;6.87439237531302;1
"16999";0;0;3.14159265358979;6.90587851896928;1
"17000";0;0;3.14159265358979;6.93609975199128;1
"17001";0;0;3.40339204138894;6.84388320238773;1
"17002";0;0;3.40339204138894;6.84388320238773;1
"17003";0;0;3.40339204138894;6.81034915421895;1
"17004";0;0;3.40339204138894;6.84388320238773;1
"17005";0;0;3.40339204138894;6.81034915421895;1
"17006";0;0;3.40339204138894;6.81034915421895;1
"17007";0;0;3.66519142918809;6.84388320238773;1
"17008";0;0;3.66519142918809;6.84388320238773;1
"17009";0;0;3.66519142918809;6.90587851896928;1
"17010";0;0;3.66519142918809;6.93609975199128;1
"17011";0;0;3.66519142918809;6.90587851896928;1
"17012";0;0;3.66519142918809;6.87600658066756;1
"17013";0;1;3.92699081698724;6.87439237531302;1
"17018";0;0;3.92699081698724;6.54615752358019;1
"17019";0;0;4.18879020478639;6.62878514713238;1
"17020";0;0;4.18879020478639;6.62878514713238;1
"17021";0;0;4.18879020478639;6.62878514713238;1
"17022";0;0;4.18879020478639;6.63084827969831;1
"17023";0;0;4.18879020478639;6.62878514713238;1
"17024";0;0;4.18879020478639;6.62878514713238;1
"17025";0;0;4.45058959258554;6.62878514713238;1
"17026";0;0;4.45058959258554;6.58746392296473;1
"17027";0;0;4.45058959258554;6.58918435349661;1
"17028";0;0;4.45058959258554;6.58918435349661;1
"17029";0;0;4.45058959258554;6.58918435349661;1
"17030";0;0;4.45058959258554;6.58918435349661;1
"17031";0;0;4.71238898038469;6.58918435349661;1
"17032";0;0;4.71238898038469;6.58918435349661;1
"17033";0;0;4.71238898038469;6.58918435349661;1
"17034";0;0;4.71238898038469;6.58918435349661;1
"17035";0;0;4.71238898038469;6.58918435349661;1
"17036";0;0;4.71238898038469;6.58918435349661;1
"17037";0;0;4.97418836818384;6.58918435349661;1
"17038";0;0;4.97418836818384;6.58918435349661;1
"17039";0;0;4.97418836818384;6.54615752358019;1
"17040";0;0;4.97418836818384;6.54615752358019;1
"17041";0;0;4.97418836818384;6.54615752358019;1
"17042";0;0;4.97418836818384;6.54615752358019;1
"17043";0;0;5.23598775598299;6.54615752358019;1
"17044";0;0;5.23598775598299;6.54615752358019;1
"17045";0;0;5.23598775598299;6.54615752358019;1
"17046";0;0;5.23598775598299;6.54615752358019;1
"17047";0;0;5.23598775598299;6.54615752358019;1
"17048";0;0;5.23598775598299;6.54615752358019;1
"17049";0;0;5.49778714378214;6.54615752358019;1
"17050";0;0;5.49778714378214;6.54615752358019;1
"17051";0;0;5.49778714378214;6.50119582229294;1
"17052";0;0;5.49778714378214;6.54615752358019;1
"17053";0;0;5.49778714378214;6.5035393902744;1
"17054";0;0;5.49778714378214;6.54615752358019;1
"17055";0;0;5.75958653158129;6.5035393902744;1
"17056";0;0;5.75958653158129;6.50119582229294;1
"17057";0;0;5.75958653158129;6.5035393902744;1
"17058";0;0;5.75958653158129;6.50119582229294;1
"17059";0;0;5.75958653158129;6.50119582229294;1
"17060";0;0;5.75958653158129;6.50119582229294;1
"17061";0;0;6.02138591938044;6.45608260642113;1
"17062";0;0;6.02138591938044;6.45608260642113;1
"17063";0;0;6.02138591938044;6.45608260642113;1
